"","Number.of.states","Prior.distribution.type","Number.of.messages","Impairment","Tolerance","Dynamics","Speaker.entropy","Hearer.entropy","Speaker.convexity","Hearer.convexity","Speaker.Voronoiness","Hearer.Voronoiness","Speaker.informativity","Hearer.informativity","Expected.utility","Iterations","Speaker.Convex.Cat","Hearer.Convex.Cat","Speaker.strategy.file","Hearer.strategy.file","Speaker.meanEU","Hearer.meanEU"
"42",6,"uniform",2,0,0.05,"replicator dynamics",8.16687254435995e-09,0.451347900539983,1.60660411109671e-27,1,875,0.736111111111111,0.693147174899101,0.693147180559774,0.999999868300119,6,0,1,"results/strategies/20140918-142426-097163-speaker.csv","results/strategies/20140918-142426-097163-hearer.csv",0.741581952632621,0.728353046746513
"43",6,"uniform",2,0,0.05,"replicator dynamics",5.25351604751453e-14,0.327775577424043,1.11247808790326e-38,1,0.833333333333333,0.833333333333333,0.75203869838811,0.752038698388138,0.999999886829925,8,0,1,"results/strategies/20140918-142426-455739-speaker.csv","results/strategies/20140918-142426-455739-hearer.csv",0.708182497118762,0.744599401420123
"44",6,"uniform",2,0,0.05,"replicator dynamics",3.61736460692853e-13,0.544803995827081,1.54433905549745e-24,1,0.916666666666667,0.708333333333333,0.693147180559695,0.693147180559945,0.999999888290035,5,0,1,"results/strategies/20140918-142426-809829-speaker.csv","results/strategies/20140918-142426-809829-hearer.csv",0.748260341472883,0.699315222231973
"45",6,"uniform",2,0,0.05,"replicator dynamics",4.10188967178928e-14,0.432767075176487,8.72472617665487e-26,1,0.916666666666667,0.916666666666667,0.752038698388116,0.752038698388138,0.999999893239144,8,0,1,"results/strategies/20140918-142427-174217-speaker.csv","results/strategies/20140918-142427-174217-hearer.csv",0.708182497118762,0.760798310601296
"46",6,"uniform",2,0,0.05,"replicator dynamics",2.15992600455575e-13,0.448137396840653,2.78886859131379e-14,1,0.833333333333333,875,0.693147180559796,0.693147180559945,0.999999856890943,7,0,1,"results/strategies/20140918-142427-527755-speaker.csv","results/strategies/20140918-142427-527755-hearer.csv",0.709972646207879,0.719696809431674
"47",6,"uniform",2,0,0.05,"replicator dynamics",4.46204499423962e-14,0.466754767902335,5.48567582290569e-15,1,0.916666666666667,875,0.693147180559915,0.693147180559945,0.999999875723338,8,0,1,"results/strategies/20140918-142427-886279-speaker.csv","results/strategies/20140918-142427-886279-hearer.csv",0.756426010447349,0.75517634881088
"48",6,"uniform",2,0,0.05,"replicator dynamics",3.89553154346659e-12,0.524849364433878,1.07426387606238e-28,1,875,0.763888888888889,0.752038698384087,0.752038698388068,0.999999831197252,6,0,1,"results/strategies/20140918-142428-242585-speaker.csv","results/strategies/20140918-142428-242585-hearer.csv",0.740406044807842,0.710259617377587
"49",6,"uniform",2,0,0.05,"replicator dynamics",7.11805557122009e-10,0.503288252284697,4.77279622388371e-21,1,0.916666666666667,0.791666666666667,0.693147180066559,0.693147180559876,0.999999865965929,4,0,1,"results/strategies/20140918-142428-594444-speaker.csv","results/strategies/20140918-142428-594444-hearer.csv",0.756426010439331,0.743628693524712
"50",6,"uniform",2,0,0.05,"replicator dynamics",9.06879207637683e-11,0.505193359254574,8.66325778487395e-26,1,875,0.777777777777778,0.693147180497085,0.693147180559919,0.999999899379203,6,0,1,"results/strategies/20140918-142428-950504-speaker.csv","results/strategies/20140918-142428-950504-hearer.csv",0.748260341472078,0.736852632581039
"51",6,"uniform",2,0,0.1,"replicator dynamics",5.32141250990744e-05,0.525905227016674,1.3516173022694e-18,1,0.833333333333333,0.736111111111111,0.751983377696331,0.75203599850905,0.982330068929844,5,0,1,"results/strategies/20140918-142429-304571-speaker.csv","results/strategies/20140918-142429-304571-hearer.csv",0.720070038374862,0.693458611233596
