Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker Convex Cat, Hearer Convex Cat, Speaker strategy file,Hearer strategy file
6,uniform,2,0.0,0.05,replicator dynamics,3.0762512333049752e-12,0.53119382500149204,8.4934798705110896e-19,0.99999999999999989,875,0.7222222222222222,0.6931471805578131,0.69314718055994495,0.99999985301557404,4,0,1,results/strategies/20140918-142418-572838-speaker.csv,results/strategies/20140918-142418-572838-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.8852260528607503e-14,0.51012144815849103,6.828962895406582e-40,1.0,875,0.6666666666666666,0.75203869838806581,0.75203869838813597,0.99999984377869333,7,0,1,results/strategies/20140918-142418-935602-speaker.csv,results/strategies/20140918-142418-935602-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,5.5767498594513163e-15,0.60784279510193473,4.4049845798568811e-38,1.0,0.6666666666666666,625,0.6931471805599414,0.6931471805599454,0.99999980897425511,6,0,1,results/strategies/20140918-142419-296756-speaker.csv,results/strategies/20140918-142419-296756-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.6206140206919827e-09,0.44081682694416252,2.9369913085050393e-10,1.0,0.8333333333333334,0.8472222222222222,0.75203869670315104,0.75203869835125325,0.99999988884804203,5,0,1,results/strategies/20140918-142419-661659-speaker.csv,results/strategies/20140918-142419-661659-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.1392566269772696e-12,0.43562360384482512,4.0852674022858108e-44,1.0000000000000002,0.9166666666666666,0.7361111111111112,0.75203869838695259,0.75203869838811765,0.99999983480811327,8,0,1,results/strategies/20140918-142420-025018-speaker.csv,results/strategies/20140918-142420-025018-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,6.0098180438690128e-10,0.44158949116957857,9.2771679206340914e-23,1.0,0.8333333333333334,0.6805555555555556,0.6931471801433764,0.69314718055962965,0.99999981773622004,5,0,1,results/strategies/20140918-142420-377686-speaker.csv,results/strategies/20140918-142420-377686-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.9886476190525265e-10,0.50730086277652731,9.521880327582028e-59,1.0,0.8333333333333334,625,0.69314718035278822,0.69314718055993141,0.999999774928508,8,0,1,results/strategies/20140918-142420-745308-speaker.csv,results/strategies/20140918-142420-745308-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,5.1743484151525425e-10,0.49401727044757665,1.8131972260471677e-28,1.0,0.75,0.6805555555555556,0.75203869785090238,0.75203869837709625,0.9999998311943179,6,0,1,results/strategies/20140918-142421-101002-speaker.csv,results/strategies/20140918-142421-101002-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,2.6617568184032749e-14,0.59426976003340548,7.6966739876821966e-35,0.99999999999999989,0.7916666666666666,0.6805555555555556,0.69314718055992697,0.6931471805599454,0.99999984378997187,6,0,1,results/strategies/20140918-142421-460837-speaker.csv,results/strategies/20140918-142421-460837-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,4.3815898435298185e-10,0.47258421254460298,8.8775286170987002e-13,1.0000000000000002,0.75,0.6944444444444444,0.7520386979357645,0.75203869837890291,0.99999982748688288,5,0,1,results/strategies/20140918-142421-818786-speaker.csv,results/strategies/20140918-142421-818786-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,1.3976854785505455e-13,0.45893514895840426,1.5340652573200896e-14,1.0,875,875,0.69314718055984836,0.6931471805599454,0.99999987402169188,5,0,1,results/strategies/20140918-142422-173171-speaker.csv,results/strategies/20140918-142422-173171-hearer.csv
6,uniform,2,0.0,0.05,replicator dynamics,8.025904391837895e-15,0.38759695273677647,3.310584177533276e-27,1.0,0.9166666666666666,0.6805555555555556,0.75203869838812887,0.75203869838813686,0.99999983814379934,6,0,1,results/strategies/20140918-142422-528448-speaker.csv,results/strategies/20140918-142422-528448-hearer.csv
