Number of states,Prior distribution type,Number of messages,Impairment,Tolerance,Dynamics,Speaker entropy,Hearer entropy,Speaker convexity,Hearer convexity,Speaker Voronoiness,Hearer Voronoiness,Speaker informativity,Hearer informativity,Expected utility,Iterations,Speaker strategy file,Hearer strategy file
50,uniform,2,0.5,0.1,replicator dynamics,0.98248648394470917,0.9959023600817245,7.8569437661618514e-12,1.0000000000000002,0.75,0.989,5.337797648830104e-07,2.5112485077743834e-07,0.48046141050717012,21,results/strategies/20140813-210157-097071-speaker.csv,results/strategies/20140813-210157-097071-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.9903132835067483,0.99590235978842512,1.8337075549027343e-12,0.99999999999999922,0.75,0.989,5.3614649337140344e-07,2.5223904223417905e-07,0.480461417820091,12,results/strategies/20140813-210159-525337-speaker.csv,results/strategies/20140813-210159-525337-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99711747423002139,0.99590236918489483,3.0037023770337647e-13,0.99999999999999933,0.75,0.989,4.5310596339302888e-07,2.1317065149421098e-07,0.48046137825603985,19,results/strategies/20140813-210203-046999-speaker.csv,results/strategies/20140813-210203-046999-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99842805830931969,0.99590236540951216,1.8446205878071284e-13,0.99999999999999911,0.75,0.989,4.8636718971321911e-07,2.2881890164877482e-07,0.48046139722845455,20,results/strategies/20140813-210206-589622-speaker.csv,results/strategies/20140813-210206-589622-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99531682885075945,0.99590236778955721,5.2996676893534891e-13,1.0000000000000007,0.75,0.989,4.6545440471691621e-07,2.1898016203817977e-07,0.48046138369075225,26,results/strategies/20140813-210211-057648-speaker.csv,results/strategies/20140813-210211-057648-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.98383154709897758,0.99590236215770922,6.2837682967157786e-12,1.0000000000000013,0.75,0.989,5.1542417178907544e-07,2.4248918604501404e-07,0.48046140195358777,21,results/strategies/20140813-210214-879282-speaker.csv,results/strategies/20140813-210214-879282-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.99718780057325385,0.99590237404338444,2.9316897452994393e-13,1.0000000000000002,0.75,0.989,4.0800956031646178e-07,1.9196291717842418e-07,0.48046135384347183,8,results/strategies/20140813-210216-745685-speaker.csv,results/strategies/20140813-210216-745685-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.98744279901921217,0.99590236252827025,3.2825449914579877e-12,1.0000000000000009,0.75,0.989,5.1206177092516979e-07,2.4090729698585137e-07,0.48046140287142858,26,results/strategies/20140813-210221-216607-speaker.csv,results/strategies/20140813-210221-216607-hearer.csv
50,uniform,2,0.5,0.1,replicator dynamics,0.98934930493886009,0.99590235850934394,2.2473733749518324e-12,1.0000000000000007,0.75,0.989,5.4746878251425138e-07,2.5756506281685018e-07,0.48046142306444051,23,results/strategies/20140813-210225-337593-speaker.csv,results/strategies/20140813-210225-337593-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,0.00038904743715034203,0.52774108922181617,0.99999999999999989,1.0000000000000004,0.9972222222222222,0.9503703703703704,0.70897583437023659,0.70921975253034464,0.99427605499179839,92,results/strategies/20140813-210308-119425-speaker.csv,results/strategies/20140813-210308-119425-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,1.6358063350173897e-06,0.41341470193307794,0.0,0.99999999999999833,0.8333333333333334,0.7698765432098765,0.75203699762316356,0.75203863161376894,0.97914386258796593,78,results/strategies/20140813-210346-102397-speaker.csv,results/strategies/20140813-210346-102397-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,7.2568650953495197e-06,0.54899643543357057,1.0,0.99999999999999856,0.9555555555555556,0.9114197530864198,0.709198639575501,0.70920459096887267,0.99439663037521142,110,results/strategies/20140813-210439-477807-speaker.csv,results/strategies/20140813-210439-477807-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,0.00059846020212050315,0.57813205819169822,1.0,1.0000000000000009,0.9777777777777777,0.9174691358024691,0.6949855293556888,0.69538348512808323,0.9952348041509621,88,results/strategies/20140813-210522-053534-speaker.csv,results/strategies/20140813-210522-053534-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,2.3672867768720542e-11,0.46735844583887748,1.0,0.99999999999999811,0.9833333333333333,0.908641975308642,0.75203869837580839,0.75203869838863646,0.98759440628008466,85,results/strategies/20140813-210602-497731-speaker.csv,results/strategies/20140813-210602-497731-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,0.0020259556647718542,0.45261987413072752,0.0,1.0000000000000009,0.8388888888888889,0.7471604938271605,0.71732243815412,0.71861246648769272,0.97663591365076385,125,results/strategies/20140813-210703-479633-speaker.csv,results/strategies/20140813-210703-479633-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,0.0006925711386096677,0.54621647450481747,0.99999999999959888,0.99999999999999967,0.9888888888888889,0.9590123456790124,0.69367627042874491,0.69414305233006557,0.99582335187210302,46,results/strategies/20140813-210725-920299-speaker.csv,results/strategies/20140813-210725-920299-hearer.csv
90,uniform,2,0.0,0.1,replicator dynamics,0.00021954680373964823,0.4963180060434394,0.99999999999035805,0.99999999999999878,0.9944444444444445,0.9487654320987654,0.70907555973059577,0.70921243938211065,0.99542907985262907,46,results/strategies/20140813-210749-334681-speaker.csv,results/strategies/20140813-210749-334681-hearer.csv
